workclass,hours-per-week,sex,age,race,occupation,capital-loss,education,capital-gain,marital-status,relationship,income
Private,20,1,57,0,Handlers-cleaners,0,HS-grad,0,Never-married,Own-child,0
Self-emp-not-inc,50,0,46,0,Sales,0,Some-college,0,Never-married,Not-in-family,0
Private,20,1,22,0,Other-service,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,0,46,0,Transport-moving,0,HS-grad,5178,Married-civ-spouse,Husband,0
Private,20,0,22,1,Adm-clerical,0,HS-grad,0,Never-married,Not-in-family,0
Private,39,1,57,1,Prof-specialty,0,Masters,0,Divorced,Not-in-family,0
Private,40,1,46,0,Exec-managerial,0,Bachelors,5178,Married-civ-spouse,Husband,1
Private,40,1,22,0,Other-service,0,11th,0,Never-married,Not-in-family,0
Private,60,0,57,0,Machine-op-inspct,0,HS-grad,0,Divorced,Not-in-family,0
Self-emp-inc,20,1,31,1,Prof-specialty,0,Masters,0,Married-civ-spouse,Husband,0
Self-emp-inc,60,0,57,0,Sales,0,Some-college,0,Married-civ-spouse,Husband,0
State-gov,39,1,38,0,Other-service,0,Some-college,0,Never-married,Not-in-family,0
Private,20,0,22,0,Other-service,0,Some-college,0,Never-married,Other-relative,0
Private,20,1,22,0,Sales,0,Some-college,0,Never-married,Not-in-family,0
Private,60,1,57,0,Farming-fishing,0,HS-grad,0,Married-civ-spouse,Husband,0
Private,20,0,31,1,Sales,0,11th,0,Divorced,Own-child,0
Self-emp-inc,39,1,46,0,Craft-repair,0,Assoc-voc,2635,Married-civ-spouse,Husband,1
Self-emp-not-inc,40,1,38,0,Other-service,0,5th-6th,0,Married-civ-spouse,Wife,0
Private,39,0,22,1,Machine-op-inspct,0,HS-grad,0,Never-married,Own-child,0
Private,40,0,57,1,Sales,0,HS-grad,0,Never-married,Not-in-family,0
Private,40,1,57,1,Craft-repair,0,Assoc-voc,0,Divorced,Not-in-family,0
Federal-gov,50,1,31,0,Exec-managerial,0,Some-college,0,Never-married,Not-in-family,0
Private,39,1,57,1,Adm-clerical,0,Bachelors,0,Married-civ-spouse,Wife,1
Private,40,1,38,0,Craft-repair,0,HS-grad,5178,Married-civ-spouse,Husband,0
Private,40,0,38,1,Other-service,0,HS-grad,0,Divorced,Not-in-family,0
Private,20,1,46,1,Exec-managerial,0,Some-college,0,Married-civ-spouse,Husband,1
Private,60,1,57,0,Sales,0,HS-grad,0,Divorced,Not-in-family,0
Private,20,0,57,0,Sales,0,Bachelors,0,Widowed,Not-in-family,1
Private,40,1,57,1,Machine-op-inspct,0,10th,0,Never-married,Not-in-family,0
